0023	NUMBER SIGN
0030	DIGIT ZERO
0031	DIGIT ONE
0032	DIGIT TWO
0033	DIGIT THREE
0034	DIGIT FOUR
0035	DIGIT FIVE
0036	DIGIT SIX
0037	DIGIT SEVEN
0038	DIGIT EIGHT
0039	DIGIT NINE
0374	GREEK NUMERAL SIGN
0375	GREEK LOWER NUMERAL SIGN
0600	ARABIC NUMBER SIGN
0605	ARABIC NUMBER MARK ABOVE
0660	ARABIC-INDIC DIGIT ZERO
0661	ARABIC-INDIC DIGIT ONE
0662	ARABIC-INDIC DIGIT TWO
0663	ARABIC-INDIC DIGIT THREE
0664	ARABIC-INDIC DIGIT FOUR
0665	ARABIC-INDIC DIGIT FIVE
0666	ARABIC-INDIC DIGIT SIX
0667	ARABIC-INDIC DIGIT SEVEN
0668	ARABIC-INDIC DIGIT EIGHT
0669	ARABIC-INDIC DIGIT NINE
066C	ARABIC THOUSANDS SEPARATOR
06F0	EXTENDED ARABIC-INDIC DIGIT ZERO
06F1	EXTENDED ARABIC-INDIC DIGIT ONE
06F2	EXTENDED ARABIC-INDIC DIGIT TWO/Users/haowenlin/PycharmProjects/numberTestngEvaluation /lib/unicode_digit.txt
06F3	EXTENDED ARABIC-INDIC DIGIT THREE
06F4	EXTENDED ARABIC-INDIC DIGIT FOUR
06F5	EXTENDED ARABIC-INDIC DIGIT FIVE
06F6	EXTENDED ARABIC-INDIC DIGIT SIX
06F7	EXTENDED ARABIC-INDIC DIGIT SEVEN
06F8	EXTENDED ARABIC-INDIC DIGIT EIGHT
06F9	EXTENDED ARABIC-INDIC DIGIT NINE
0773	ARABIC LETTER ALEF WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE
0774	ARABIC LETTER ALEF WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE
0775	ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE
0776	ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE
0777	ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT FOUR BELOW
0778	ARABIC LETTER WAW WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE
0779	ARABIC LETTER WAW WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE
077A	ARABIC LETTER YEH BARREE WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE
077B	ARABIC LETTER YEH BARREE WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE
077C	ARABIC LETTER HAH WITH EXTENDED ARABIC-INDIC DIGIT FOUR BELOW
077D	ARABIC LETTER SEEN WITH EXTENDED ARABIC-INDIC DIGIT FOUR ABOVE
07C0	NKO DIGIT ZERO
07C1	NKO DIGIT ONE
07C2	NKO DIGIT TWO
07C3	NKO DIGIT THREE
07C4	NKO DIGIT FOUR
07C5	NKO DIGIT FIVE
07C6	NKO DIGIT SIX
07C7	NKO DIGIT SEVEN
07C8	NKO DIGIT EIGHT
07C9	NKO DIGIT NINE
0966	DEVANAGARI DIGIT ZERO
0967	DEVANAGARI DIGIT ONE
0968	DEVANAGARI DIGIT TWO
0969	DEVANAGARI DIGIT THREE
096A	DEVANAGARI DIGIT FOUR
096B	DEVANAGARI DIGIT FIVE
096C	DEVANAGARI DIGIT SIX
096D	DEVANAGARI DIGIT SEVEN
096E	DEVANAGARI DIGIT EIGHT
096F	DEVANAGARI DIGIT NINE
09E6	BENGALI DIGIT ZERO
09E7	BENGALI DIGIT ONE
09E8	BENGALI DIGIT TWO
09E9	BENGALI DIGIT THREE
09EA	BENGALI DIGIT FOUR
09EB	BENGALI DIGIT FIVE
09EC	BENGALI DIGIT SIX
09ED	BENGALI DIGIT SEVEN
09EE	BENGALI DIGIT EIGHT
09EF	BENGALI DIGIT NINE
0A66	GURMUKHI DIGIT ZERO
0A67	GURMUKHI DIGIT ONE
0A68	GURMUKHI DIGIT TWO
0A69	GURMUKHI DIGIT THREE
0A6A	GURMUKHI DIGIT FOUR
0A6B	GURMUKHI DIGIT FIVE
0A6C	GURMUKHI DIGIT SIX
0A6D	GURMUKHI DIGIT SEVEN
0A6E	GURMUKHI DIGIT EIGHT
0A6F	GURMUKHI DIGIT NINE
0AE6	GUJARATI DIGIT ZERO
0AE7	GUJARATI DIGIT ONE
0AE8	GUJARATI DIGIT TWO
0AE9	GUJARATI DIGIT THREE
0AEA	GUJARATI DIGIT FOUR
0AEB	GUJARATI DIGIT FIVE
0AEC	GUJARATI DIGIT SIX
0AED	GUJARATI DIGIT SEVEN
0AEE	GUJARATI DIGIT EIGHT
0AEF	GUJARATI DIGIT NINE
0B66	ORIYA DIGIT ZERO
0B67	ORIYA DIGIT ONE
0B68	ORIYA DIGIT TWO
0B69	ORIYA DIGIT THREE
0B6A	ORIYA DIGIT FOUR
0B6B	ORIYA DIGIT FIVE
0B6C	ORIYA DIGIT SIX
0B6D	ORIYA DIGIT SEVEN
0B6E	ORIYA DIGIT EIGHT
0B6F	ORIYA DIGIT NINE
0BE6	TAMIL DIGIT ZERO
0BE7	TAMIL DIGIT ONE
0BE8	TAMIL DIGIT TWO
0BE9	TAMIL DIGIT THREE
0BEA	TAMIL DIGIT FOUR
0BEB	TAMIL DIGIT FIVE
0BEC	TAMIL DIGIT SIX
0BED	TAMIL DIGIT SEVEN
0BEE	TAMIL DIGIT EIGHT
0BEF	TAMIL DIGIT NINE
0BF0	TAMIL NUMBER TEN
0BF1	TAMIL NUMBER ONE HUNDRED
